Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Сиртаки,греческая таверна,Доставка готовых блюд; Кафе; Рестораны; Банкетные залы; Бары,"Невский проспект, 102",1-2 этаж,191025,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (зал: пн-вс 6:00-00:00),+03:00,4.4,493,88126224991,,,dg@pome-granate.ru,,http://akrotaki.ru,,,,https://vk.com/sirtaki_taverna,https://wa.me/79111021212,,,viber://chat/?number=79111021212,,,,,59.931805,30.356301,https://2gis.com/firm/70000001030957536
Кебаб,кафе,Быстрое питание; Кафе; Доставка готовых блюд,"проспект Испытателей, 13 к3",,197341,Комендантский аэродром,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,64,88129977745 (единый номер: круглосуточно),,,vkuskebabmenu@yandex.ru,,http://cafekebab.ru,,,,https://vk.com/vkuskebab,,,,,,,,,60.004365,30.289852,https://2gis.com/firm/70000001038720049
КофеБон,сеть кофеен,Доставка готовых блюд; Продажа кофе; Точки кофе; Продажа чая; Кафе; Кондитерские изделия,"улица Декабристов, 46",1 этаж,190121,Коломна,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 09:00-20:00,+03:00,4.9,61,88123099510 (единый номер: пн-пт 10:00-20:00),,,marketing@coffeebon.ru,,http://coffeebon.ru,,,,https://vk.com/coffee_bon,,,,,,https://t.me/coffe_bon,,,59.924877,30.28951,https://2gis.com/firm/70000001039706406
joly woo,стритфуд-кафе паназиатской кухни,Быстрое питание; Кафе; Доставка готовых блюд,"Восстания, 12",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.5,196,"88124545224 (доп.1, многоканальный)",,,jolywoocafe@yandex.ru,,http://jolywoo.com,http://delivery.jolywoo.ru/,,,https://vk.com/joly_woo_cafe,,,,,,,,,59.936252,30.360044,https://2gis.com/firm/70000001023257115
Креветочная,,Кафе; Бары; Доставка готовых блюд,"Рубинштейна, 38",1 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 13:00-01:00; Вт: 13:00-01:00; Ср: 13:00-01:00; Чт: 13:00-01:00; Пт: 13:00-01:00; Сб: 13:00-01:00; Вс: 13:00-01:00,+03:00,4.4,49,89811363898,,,,,http://t.me/angryshrimp_spb,,,,,,,,,,,,,59.926944,30.342929,https://2gis.com/firm/70000001075162672
UKUSNO сербская кухня,кафе,Доставка готовых блюд; Бары; Кафе,"Столярный переулок, 13",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-23:00,+03:00,4.6,243,89315857179,,,ukusno@inbox.ru,,http://ukusno.ru,,,,https://vk.com/ukusno,,,,,,,,,59.926333,30.312843,https://2gis.com/firm/70000001028638176
Косой Переулок,тематическое кафе,Сувениры; Кафе; Быстрое питание,"Большая Пушкарская, 38",цокольный этаж,197198,Кронверкское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+03:00,4.2,60,89990222030,,,mail@no-muggles.ru,,http://nomuggles.ru,,,,https://vk.com/kosoipereulok,,,,,,https://t.me/no_muggles,,,59.960382,30.305931,https://2gis.com/firm/70000001025989124
Сити гриль,ресторан быстрого питания,Кафе; Быстрое питание; Доставка готовых блюд,"Невский проспект, 13",1 этаж,191186,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-22:00,+03:00,4.5,217,89216578280,,,,,http://citygrillexpress.ru,,,,https://vk.com/id144362982,,,,,,,,,59.936204,30.317232,https://2gis.com/firm/70000001047572689
Любим сытно,семейное кафе,Кафе; Доставка готовых блюд; Быстрое питание,"Плесецкая, 10 ст1",1 этаж,197373,Юнтолово,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-23:00,+03:00,3.5,54,89317110178,,,,,http://lyubimsytno.ru,,,,https://vk.com/lyubimsytno,,,,,,,,,60.034484,30.217976,https://2gis.com/firm/70000001067916435
Евразия,рестораны японской и европейской кухни,Рестораны; Кафе; Суши-бары; Доставка готовых блюд,"Мурманское шоссе 12 км, 1",1 этаж,188693,,,Кудрово,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.9,178,88126414184,,,evrasia.spb@gmail.com,,http://evrasia.spb.ru/?utm_source=pinbox&utm_medium=cpc&utm_campaign=geo,,,,https://vk.com/evrasiaspb,,,,,,https://t.me/evrasiapiter,,,59.894046,30.51098,https://2gis.com/firm/70000001057618940
Blackwood Pub,паб,Бары; Доставка готовых блюд; Рестораны; Кафе,"Итальянская, 10",цокольный этаж,191011,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.5,127,88124169001,,,,,http://dublinpubspb.ru,http://blackwoodpub.ru,,,https://vk.com/dublinpubspb,,,,,,,,,59.936324,30.335286,https://2gis.com/firm/70000001054170635
Beer House,сеть баров,Бары; Доставка готовых блюд; Рестораны; Кафе,"улица Некрасова, 25",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.6,190,88125012164,,,info@beerhousebar.ru,,http://beerhousebar.ru/?utm_source=2gis,,,,https://vk.com/beerhousebar,,,,,,,,,59.938659,30.359389,https://2gis.com/firm/5348552838621573
Che cafe,городское кафе,Кафе; Доставка готовых блюд,"переулок Гривцова, 26",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-02:00; Сб: 10:00-02:00; Вс: 10:00-23:00,+03:00,4.6,73,88124022050,,,pr1@chegroup.ru,,,,,,https://vk.com/che_cafe,,,,,,https://t.me/chegroup_spb,,,59.927257,30.317241,https://2gis.com/firm/70000001065327421
Пироговый дворик,кафе-пекарня,Доставка готовых блюд; Пекарни; Кафе,"Старо-Петергофский проспект, 43-45",1 этаж,190020,Екатерингофский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.1,63,88126004202 (служба доставки),88123131061 (единая справочная: пн-вс 9:00-21:00),,info@pirogov-dvorik.ru,,http://pirogov-dvorik.ru,,,,https://vk.com/pirogovdvorik,,,,,,https://t.me/pirogov_dvorik,,,59.902093,30.275084,https://2gis.com/firm/5348552840819024
Двойник,коктейльный бар и ресторан,Бары; Рестораны; Кафе; Организация и проведение праздников,"Достоевского, 13",1 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 16:00-03:00; Вт: 16:00-03:00; Ср: 16:00-03:00; Чт: 16:00-03:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-03:00,+03:00,4.6,69,89955943367,,,dvoynikspb@yandex.ru,,http://dvoynikbar.ru/?utm_source=link&utm_medium=cpc&utm_campaign=2gis,,,,https://vk.com/dvoynik13,https://wa.me/79955943367,,,,,https://t.me/dvoynikspb,,,59.924521,30.348552,https://2gis.com/firm/70000001062597293
"О, мой боул!",калифорнийская покетерия,Кафе; Доставка готовых блюд,"Гороховая, 51",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.7,606,89958900017,,,hello@ohmybowl.ru,,http://ohmybowl.ru,,,,https://vk.com/oh_mybowl,https://wa.me/79958900017,,,viber://chat/?number=79958900017,,https://t.me/mybowl,,,59.927027,30.323993,https://2gis.com/firm/70000001037290063
Mariospizza,ресторан,Кафе; Пиццерии; Рестораны,"Невский проспект, 13",1 этаж,191186,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.6,229,89219411150,,,,,http://mariospizza.ru,,,,,,,,,,,,,59.936159,30.317188,https://2gis.com/firm/70000001054343221
Ichiraku Ramen,раменная,Быстрое питание; Кафе; Суши-бары,"Лиговский проспект, 71 лит А",1 этаж,191040,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.0,50,89992096502,,,ichiraku.ramen@inbox.ru,,,,,,,https://wa.me/79992096502,,,,,,,,59.926092,30.357473,https://2gis.com/firm/70000001080022179
Френдс,,Кафе; Доставка готовых блюд,"Большой проспект П.С., 81",1 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:30; Сб: 09:00-23:30; Вс: 09:00-23:00,+03:00,4.5,174,"88129874488 (доп.2, многоканальный)",,,,,http://friendsspb.ru/?utm_source=2gis,,,,https://vk.com/friendsspb.home,,,,,,,,,59.9669,30.313809,https://2gis.com/firm/70000001052963989
Del Mar,ресторан,Доставка готовых блюд; Караоке-залы; Кафе,"Туристская улица, 34",1-3 этаж,197082,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-04:00; Вт: 11:00-04:00; Ср: 11:00-04:00; Чт: 11:00-04:00; Пт: 11:00-06:00; Сб: 11:00-06:00; Вс: 11:00-04:00,+03:00,3.5,335,88129442727,,,help@delmar-group.ru,,http://www.delmar-spb.ru,,,,https://vk.com/delmar_official,,,,,,,,,60.007529,30.211883,https://2gis.com/firm/70000001028404814
Время есть,кафе,Кафе; Быстрое питание,"Московское шоссе, 231 к5 лит А",1 этаж,196627,Ленсоветовский пос.,Пушкинский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-16:00; Вт: 09:00-16:00; Ср: 09:00-16:00; Чт: 09:00-16:00; Пт: 09:00-16:00,+03:00,5.0,8,89817199097,89112686467,,,,,,,,,https://wa.me/79112686467,https://wa.me/79817199097,,,,,,,59.761814,30.474111,https://2gis.com/firm/70000001046145027
