Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
КофеБон,сеть кофеен,Пекарни; Кофейни; Кондитерские изделия; Продажа чая,"Большой Сампсониевский проспект, 80",1 этаж,194100,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 09:00-21:00,+03:00,4.7,123,88123099510 (единый номер: пн-пт 10:00-20:00),,,marketing@coffeebon.ru,,http://coffeebon.ru,,,https://vk.com/coffee_bon,,,,,,https://t.me/coffe_bon,,,59.984831,30.333662,https://2gis.com/firm/70000001031657600
Цех85,пекарня-кондитерская,Кондитерские изделия; Пекарни; Кафе-кондитерские; Доставка готовых блюд; Кофейни,"улица Садовая, 25",1 этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,4.5,90,88005008985 (единый номер: пн-вс 8:00-22:00),,,info@tseh85.ru,,http://tseh85.ru,,,https://vk.com/tseh85,,,,,,https://t.me/tseh85bakery,,,59.929773,30.32457,https://2gis.com/firm/70000001028630292
Lunar bakery,кафе,Кафе; Пекарни; Кофейни; Доставка готовых блюд; Кондитерские изделия,"Моисеенко, 24",1 этаж,191144,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-21:00; Вт: 08:30-21:00; Ср: 08:30-21:00; Чт: 08:30-21:00; Пт: 08:30-21:00; Сб: 08:30-21:00; Вс: 08:30-21:00,+03:00,4.7,15,89213819313,,,lunarpekarna@gmail.com,,,,,https://vk.com/lunarbakery,https://wa.me/79213819313,,,viber://chat/?number=79213819313,,,,,59.937595,30.389938,https://2gis.com/firm/70000001079603289
DongFang ShuYe Восточный листок,,Кофейни; Продажа чая; Продажа кофе,"Лиговский проспект, 57-59",2 этаж,191040,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,5.0,27,,,,vostochnyi-listok@yandex.ru,,http://t.me/vostochnyilistok,,,https://vk.com/club221491558,,,,,,,,,59.928356,30.358891,https://2gis.com/firm/70000001079696396
Etlon coffee,сеть кофе-баров,Кофейни,"2-я Красноармейская улица, 3а",1 этаж,190005,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-20:00; Вс: 09:00-20:00,+03:00,3.9,38,89992367777 (единая справочная: пн-вс 10:00-22:00),,,admin@etloncoffee.ru,,http://etlon.ru,,,https://vk.com/etloncoffee,https://wa.me/79992367777,,,viber://chat/?number=79992367777,,https://t.me/etloncoffee,,https://youtube.com/channel/UC3jxN8ac9WTKn6pY6oXF0FQ,59.915458,30.316673,https://2gis.com/firm/70000001027349097
Baggins Coffee,кофейня,Кофейни; Кондитерские изделия; Кулинарии; Мороженое; Продажа кофе,"Лиговский проспект, 119",цокольный этаж,191119,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 09:00-21:00,+03:00,4.0,56,88006007015 (единая справочная: пн-вс 10:00-19:00),,,info@bagginscoffee.ru,maps@bagginscoffee.ru,http://bagginscoffee.com,,,https://vk.com/bagginscoffee,,,,,,https://t.me/bagginscoffee_bot,https://t.me/BagginsCoffee,https://youtube.com/channel/UCBVX0L_WSz9Wr3mF8xcCXyw,59.918771,30.352425,https://2gis.com/firm/70000001029082618
Toggle Coffee,авиационная кофейня,Кофейни; Продажа кофе; Пекарни,"площадь Ленина, 3",1 этаж; вход через магазин Море Чая,195009,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 09:30-23:00; Вс: 09:30-23:00,+03:00,4.9,76,88127772485,,,info@toggle.coffee,,http://toggle.coffee,,,,https://wa.me/79214094036,,,,,https://t.me/togglecoffee,https://t.me/+79214094036,,59.953726,30.356643,https://2gis.com/firm/70000001039261822
Albicocco,кафе-кондитерская,Кафе-кондитерские; Кофейни; Доставка готовых блюд,"Невский проспект, 35",2 этаж; вход с ул. Садовая,191011,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.7,16,88126305408,89213109545,,albicocco.spb@yandex.ru,,http://albicocco.ru,,,,https://wa.me/79312663513,,,viber://chat/?number=79312663513,,https://t.me/+79312663513,,,59.932158,30.329901,https://2gis.com/firm/70000001066414848
Coffee Break 128,кофейня,Кондитерские изделия; Кофейни,"Невский проспект, 128",1 этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.5,35,89810486620,,,,,http://coffee-break-128.clients.site,,,https://vk.com/coffeebreak128,,,,,,,,,59.930573,30.366245,https://2gis.com/firm/70000001064800241
Brunch,кофейня,Кофейни; Доставка готовых блюд,"Рылеева, 13",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.6,170,89939707770,,,brunch.spb@yandex.ru,,,,,,https://wa.me/79939707770,,,,,https://t.me/brunchspb,,,59.942396,30.354625,https://2gis.com/firm/70000001044145847
Спэшл,кофейня,Кофейни; Продажа кофе; Календари / Открытки,"улица Большая Конюшенная, 4/6/8 лит В",1 этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.8,69,89211889219,,,speshl.coffee@gmail.com,,,,,,,,,,,https://t.me/speshl_coffee,,,59.938528,30.323744,https://2gis.com/firm/70000001061449568
Bodrum,кофейня,Кофейни; Продажа кофе; Кондитерские изделия,"Волховский переулок, 6",цокольный этаж,199004,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-20:00; Вс: 10:00-20:00,+03:00,5.0,18,,,,hitrow.aparts1001@gmail.com,,,,,,,,,,,,,,59.944864,30.28984,https://2gis.com/firm/70000001067350415
Coffee Racer,кофейня,Кофейни,"Введенская, 22",1 этаж,197198,Введенский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.8,34,89215554789,,,,,http://coffee-racer.ru,,,,,,,,,https://t.me/coffeeracerspb,,,59.95533,30.30698,https://2gis.com/firm/70000001029175887
Кофестория,кофейня,Кофейни; Продажа кофе; Кафе-кондитерские; Пекарни; Доставка готовых блюд,"Большеохтинский проспект, 10",1 этаж,195027,Большая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,3.2,39,89219597148,,,kofestoria@mail.ru,,http://kofestoria.vsite.biz,,,https://vk.com/kofestoria,https://wa.me/79219597148,,,viber://chat/?number=79219597148,,https://t.me/+79219597148,,,59.952912,30.409629,https://2gis.com/firm/70000001018146675
Династия кофе,кофейня,Кофейни; Доставка готовых блюд,"Гражданский проспект, 78",1 этаж,195257,Академическое,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.6,40,89650678413,,,zim-av@mail.ru,,,,,https://vk.com/dynastycoffee,https://wa.me/79650678413,,,,,,,,60.015055,30.398327,https://2gis.com/firm/70000001031947499
Kos. Place,кофейня,Кофейни; Продажа кофе; Продажа чая; Керамические изделия,"набережная реки Фонтанки, 86",1 этаж,191180,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-21:00; Вт: 08:30-21:00; Ср: 08:30-21:00; Чт: 08:30-21:00; Пт: 08:30-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,60,89319992100,,,hello@kosplace.ru,,http://kosplace.ru,,,https://vk.com/kos.place,https://wa.me/79319992100,,,viber://chat/?number=79319992100,,,,,59.925996,30.33089,https://2gis.com/firm/70000001043922259
