Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
7 lir,кафе,Доставка готовых блюд; Кафе; Пиццерии; Суши-бары,"улица Торговая, 5г",1 этаж,655010,4-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,4.6,875,83902212221,,,pizza.7lir@yandex.ru,,http://7lir-aba.ru,http://www.7lir.ru,https://vk.com/7lir_abakan,,,,,,,,,53.743068,91.43365,https://2gis.com/firm/70000001027729359
Солгон,гриль-бар,Кафе; Рестораны,"проспект Дружбы народов, 52",,655016,4-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-22:00,+07:00,3.7,24,89029464639,,,solgongrilibar@gmail.com,,,,,https://wa.me/79029464639,,,,,,,,53.745556,91.417571,https://2gis.com/firm/70000001080295549
Папа Sous,кафе быстрого питания,Быстрое питание; Кафе; Доставка готовых блюд,"проспект Ленина, 76а",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+07:00,3.4,242,83902399399,,,bondareva_afk@inbox.ru,,http://papasous.ru,,,,,,,,https://t.me/bigpapbot,,,53.722861,91.447803,https://2gis.com/firm/70000001060664377
PROЖАРКА,стэйк-хаус,Доставка готовых блюд; Кафе; Бары; Пиццерии; Суши-бары,"Некрасова, 23а",1 этаж,655004,Западный м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-23:00 (служба доставки: пн-вс 11:00-22:30),+07:00,4.1,690,83902213213 (служба бронирования),89831913521 (единый номер: пн-вс 10:00-23:00),,,,,,https://vk.com/prozharka19,,,,,,https://t.me/prozharka19,,,53.720823,91.423136,https://2gis.com/firm/70000001044922453
Оки-доки,суши-бар,Доставка готовых блюд; Суши-бары; Кафе; Рестораны,"Абаканская улица, 53а",цокольный этаж,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+07:00,3.5,55,89130592242,,,oki-doki_minysinsk@mail.ru,,http://oki-doki24.ru,,https://vk.com/syshiokidoki,,,,,,,,,53.692207,91.670486,https://2gis.com/firm/9711415977829391
Тито стрит,стритфуд из Азии,Кафе,"проспект Ленина, 63",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,5.0,6,89831918691,,,tito.street@yandex.ru,,,,https://vk.com/tito_abk,,,,,,,,,53.722098,91.444728,https://2gis.com/firm/70000001077219177
Блин.com,кафе,Кафе; Доставка готовых блюд,"улица Красных Партизан, 16а",,662608,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.8,103,89082229202,,,vb@cafe-blin.com,,http://cafe-blin.com,,https://vk.com/public211345153,,,,,,,,,53.708023,91.689352,https://2gis.com/firm/70000001035274045
ЧебурекМи,кафе быстрого питания,Быстрое питание; Кафе,"проспект Ленина, 75",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.7,11,89993158599,,,,,http://cheburek.me,http://t.me/cheburekmeabakan19,https://vk.com/cheburek_me_abakan,,,,,,,,,53.721279,91.436591,https://2gis.com/firm/70000001075186357
BRIXTON,,Кафе; Доставка готовых блюд; Пиццерии; Суши-бары,"улица Щетинкина, 63",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+07:00,4.6,431,83902313332 (служба доставки),89831900337,,FOODBAND91@mail.ru,,http://brixton19.ru,,https://vk.com/cafebrixton,https://wa.me/79831900337,,,,,,,,53.730835,91.440368,https://2gis.com/firm/70000001051469796
Токана,кафе,Кондитерские изделия; Кафе,"улица Чертыгашева, 112",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,3.9,50,83902357908,,,tokana@yandex.ru,,http://tokana19.ru,,https://vk.com/tokana_abakan,,,,,,https://t.me/tokana_abakan,,,53.724821,91.441283,https://2gis.com/firm/70000001006493970
Чайхана,кафе узбекской кухни,Кафе; Банкетные залы; Доставка готовых блюд,"Кирова, 112/2",цокольный этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+07:00,4.4,179,83902287000,89233508888,,,,,,https://vk.com/chaihana19,https://wa.me/79233508888,,,viber://chat/?number=79233508888,,https://t.me/+79233508888,,,53.727288,91.436804,https://2gis.com/firm/70000001021253595
