Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,Telegram 3,YouTube,Skype,Широта,Долгота,2GIS URL
ВкусВилл,магазин с доставкой полезных продуктов,Супермаркеты; Доставка продуктов / хозтоваров; Доставка готовых блюд,"Гороховая, 45",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,41,89215543091,84956638602 (горячая линия: пн-вс 9:00-21:00),,info@izbenka.msk.ru,,http://spb.vkusvill.ru/?utm_campaign=2gis_maps&utm_content=glavnaya&utm_medium=spravochnik&utm_source=2gis,,,,https://vk.com/vkusvill_ru,,,,,,,,,https://youtube.com/channel/UC8f84TEqxTcS6LGv9Lbi8uw,,59.928075,30.321308,https://2gis.com/firm/70000001036192454
Дикси,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Невский проспект, 120",1 этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,6,88001011001,,,dixy@dixy.ru,,http://www.dixy.ru,,,,https://vk.com/dixyclub,,,,,,https://t.me/dixy_russia,,,https://youtube.com/user/DixyChannel,,59.930863,30.363487,https://2gis.com/firm/70000001076343902
Пятёрочка,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Стремянная, 1",цокольный этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,3.7,81,88005555505 (горячая линия: круглосуточно),88007700400 (горячая линия по подбору персонала: круглосуточно),,info@pyaterochka.ru,vopros@5ka.ru,http://promo.5ka.ru?utm_source=2GIS&utm_medium=Display&utm_campaign=5ka_Promo_oct'23&utm_content=Geocontext&utm_term=RF,,,https://twitter.com/pyaterochka,https://vk.com/club19098821,,,,,,https://t.me/ks5_bot,,,https://youtube.com/channel/UC42Djx5cN5-A9b15lDGgVPw,,59.931273,30.348099,https://2gis.com/firm/70000001022021642
Магнит,супермаркет,Супермаркеты,"улица Садовая, 35",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.9,22,88002009002 (горячая линия: круглосуточно),,,info@magnit.ru,,http://magnit.ru,,,,https://vk.com/magnitretail,,,,,,https://t.me/magnitnews,https://t.me/Magnit_official_Bot,https://t.me/magnit_retail,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,59.928039,30.319396,https://2gis.com/firm/70000001052957596
Вкустер,супермаркет,Супермаркеты,"Белоостровская, 10 к1 ст1",1 этаж,197342,Ланское,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.4,10,88127775307 (горячая линия: пн-пт 9:00-18:00),,,hello@vkuster.ru,,http://vkuster.ru,,,,https://vk.com/vkusterru,,,,,,,,,,,59.984815,30.327016,https://2gis.com/firm/70000001060469928
Магнит Экстра,,Гипермаркеты,"Кушелевская дорога, 1 к1",2 этаж,195220,Пискарёвка,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.6,69,88002009002,,,info@magnit.ru,,http://magnit.ru/promo/?format[]=me,,,,https://vk.com/magnitretail,,,,,,,,,https://youtube.com/channel/UCoWX1GhHlSJGwKpCEJitsoA,,59.986517,30.36697,https://2gis.com/firm/70000001047216602
Белорусское лукошко,продуктовый магазин,Продуктовые магазины,"проспект Маршала Блюхера, 7 к2",,195197,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,,+03:00,5.0,9,89112178286,,,,,,,,,,https://wa.me/79112178286,,,,,https://t.me/+79112178286,,,,,59.979697,30.37261,https://2gis.com/firm/70000001078935866
METRO,торговый центр,Гипермаркеты; Доставка продуктов / хозтоваров,"Комендантский проспект, 3 лит А",1 этаж,197227,Озеро Долгое,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 06:00-23:30; Вт: 06:00-23:30; Ср: 06:00-23:30; Чт: 06:00-23:30; Пт: 06:00-23:30; Сб: 06:00-23:30; Вс: 06:00-23:30,+03:00,3.1,73,88124491500 (многоканальный),,,acquisition.store15@metro-cc.ru,entry.store15@metro-cc.ru,http://cards.metro-cc.ru/login/2GIS_Maps,,,https://twitter.com/METRO_CC_Russia,https://vk.com/mirmetrorussia,,,,,,,,,https://youtube.com/user/MetroCCru,,60.002646,30.267914,https://2gis.com/firm/5348552838576932
О`Кей,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Богатырский проспект, 13 лит А",1 этаж,197227,Озеро Долгое,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.9,81,88127037006,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,60.000329,30.272092,https://2gis.com/firm/5348552838577233
Наш маркет,магазин,Продуктовые магазины; Хозяйственные товары,"Лиговский проспект, 41",1 этаж,191040,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.4,22,,,,,,,,,,,,,,,,,,,,,59.93085,30.360463,https://2gis.com/firm/70000001046595463
Ашан,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Боровая, 47",1 этаж,192007,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,3.2,292,88007005800 (единый номер: круглосуточно),,,,,http://auchan.ru,,,,https://vk.com/auchan,,,,,,https://t.me/auchanrusbot,,,,,59.91395,30.341082,https://2gis.com/firm/5348552838574237
Дом книги,магазин,Книги; Канцелярские товары / Учебные принадлежности; Учебная литература; Календари / Открытки; Сувениры; Интересные здания,"Невский проспект, 28","7-Н помещение; цокольный, 1-2 этаж",191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.6,167,88126678425,88126678427 (интернет-магазин),,,,http://dk-spb.ru,http://jivo.chat/bWzT1NahPf,,,https://vk.com/dom_knigi_spb,,,,,,https://t.me/domknigisinger,,,,,59.935858,30.325908,https://2gis.com/firm/70000001063840471
