Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL
Паруса на крыше,панорамный ресторан,Рестораны; Банкетные залы; Караоке-залы; Доставка готовых блюд; Бары,"улица Льва Толстого, 9",10 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-06:00; Сб: 09:00-06:00; Вс: 09:00-23:00,+03:00,4.5,1729,88129911090,,,info@parusabanket.ru,,http://nakryshe.parusa-spb.ru,,,,https://vk.com/parusa_nakryshe,https://wa.me/79219911090,,,viber://chat/?number=79219911090,,https://t.me/parusanakrishe,,,,59.965318,30.31563,https://2gis.com/firm/70000001007338961
Caribia,,Рестораны; Бары; Продажа кофе,"2-я Советская улица, 12",цокольный этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,4.9,45,89219395321,,,,,http://caribia-rest.ru,,,,,https://wa.me/79219395321,,,viber://chat/?number=79219395321,,,,,,59.931506,30.36973,https://2gis.com/firm/70000001068200284
Medici bistro,итальянский ресторан,Рестораны; Пиццерии; Доставка готовых блюд; Бары; Кафе,"проспект Медиков, 10 к1",1 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00 (кухня: вс-чт 12:00-22:30; пт-сб 12:00-00:30),+03:00,4.7,175,88129643100,,,medicibistro@gmail.com,,http://medici-delivery.ru/?utm_source=2gis&utm_medium=context&utm_campaign=delivery,http://medici.rest/?utm_source=2gis&utm_medium=context&utm_campaign=site,,,https://vk.com/medici.bistro,,,,,,,,,,59.973413,30.315199,https://2gis.com/firm/70000001044143288
Траппист,бельгийская брассерия,Бары; Доставка готовых блюд; Рестораны,"Радищева, 36",1-2 этаж,191014,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+03:00,4.8,253,89212077779,,,mail@beercard.ru,,http://dreamteam.fm/trappistspb_menu,http://trappistspb.ru,,https://twitter.com/400beercard,,https://wa.me/79212077779,,,,,https://t.me/+79212077779,,,,59.94156,30.363407,https://2gis.com/firm/5348553838529810
Чабрец,ресторан,Рестораны; Банкетные залы; Доставка готовых блюд,"Аптекарская набережная, 20",1-2 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-04:00; Сб: 10:00-04:00; Вс: 10:00-02:00,+03:00,4.4,173,88122913111,,,,,,,,,,,,,,,,,,,59.978319,30.315486,https://2gis.com/firm/70000001034337128
Feromon Group,лаундж-бар,Центры паровых коктейлей; Рестораны; Бары; Антикафе; Табачные изделия / Товары для курения; Караоке-залы,"Ефимова, 3 лит Ж",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.6,318,89219333633,,,info@feromon.group,smm@feromon.group,http://feromon.group/institution/ul-efimova/?utm_source=2gis&utm_medium=organic&utm_campaign=description&utm_content=site&utm_term=efimova,,,,https://vk.com/feromongroup,,,,,,https://t.me/feromongroup,,,,59.924795,30.322199,https://2gis.com/firm/70000001035994827
Beer House,сеть баров,Бары; Доставка готовых блюд; Рестораны; Кафе,"улица Некрасова, 25",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.6,190,88125012164,,,info@beerhousebar.ru,,http://beerhousebar.ru/?utm_source=2gis,,,,https://vk.com/beerhousebar,,,,,,,,,,59.938659,30.359389,https://2gis.com/firm/5348552838621573
Blackwood Pub,паб,Бары; Доставка готовых блюд; Рестораны; Кафе,"Итальянская, 10",цокольный этаж,191011,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.5,127,88124169001,,,,,http://dublinpubspb.ru,http://blackwoodpub.ru,,,https://vk.com/dublinpubspb,,,,,,,,,,59.936324,30.335286,https://2gis.com/firm/70000001054170635
Добрый Грузин,сеть ресторанов,Рестораны; Доставка готовых блюд; Кафе; Банкетные залы; Бары,"Невский проспект, 111/3",1 этаж,191036,Лиговка-Ямская,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+03:00,4.4,355,89210972525 (служба доставки: пн-вс 12:00-1:00),88126797766 (единый номер: пн-вс 12:00-1:00),,,,http://dobriygruzin.ru,,,,https://vk.com/dobriygruzin,,,,,,,,,,59.928252,30.370777,https://2gis.com/firm/70000001018693463
Хачапурия,ресторан,Рестораны; Доставка готовых блюд,"площадь Искусств, 4",1 этаж,191011,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,4.8,1349,89119204206,,,tito.bistro@gmail.com,,http://hachapuriasbp.ru,,,,https://vk.com/hachapuria_spb,https://wa.me/79119204206,,,viber://chat/?number=79119204206,,https://t.me/hachapuria_spb,,,,59.936432,30.334381,https://2gis.com/firm/70000001049501675
